localName,domains
PhaseTapChangerTable,cim:PhaseTapChangerTablePoint cim:PhaseTapChangerTabular
PowerSystemResource,cim:Control cim:Measurement cim:OperatingShare
PowerSystemStabilizerDynamics,cim:ExcitationSystemDynamics cim:RemoteInputSignal
PowerTransferCorridor,entsoe2:CircuitShare entsoe2:OperationalLimitSet
ProprietaryParameterDynamics,cim:AsynchronousMachineUserDefined cim:DiscontinuousExcitationControlUserDefined cim:ExcitationSystemUserDefined cim:LoadUserDefined cim:MechanicalLoadUserDefined cim:OverexcitationLimiterUserDefined cim:PFVArControllerType1UserDefined cim:PFVArControllerType2UserDefined cim:PowerSystemStabilizerUserDefined cim:SynchronousMachineUserDefined cim:TurbineGovernorUserDefined cim:TurbineLoadControllerUserDefined cim:UnderexcitationLimiterUserDefined cim:VoltageAdjusterUserDefined cim:VoltageCompensatorUserDefined cim:WindPlantUserDefined cim:WindType1or2UserDefined cim:WindType3or4UserDefined
ProtectiveActionCollection,icim:ProtectiveAction icim:StageTrigger
RatioTapChanger,cim:RatioTapChangerTable cim:TransformerEnd
RatioTapChangerTable,cim:RatioTapChanger cim:RatioTapChangerTablePoint
Region,cim:DCLine cim:Line cim:SubGeographicalRegion cim:Substation
RegulatingControl,cim:RegulatingCondEq cim:RegulationSchedule cim:Terminal
RemoteInputSignal,cim:DiscontinuousExcitationControlDynamics cim:PFVArControllerType1Dynamics cim:PowerSystemStabilizerDynamics cim:Terminal cim:UnderexcitationLimiterDynamics cim:VoltageCompensatorDynamics cim:WindPlantDynamics cim:WindTurbineType1or2Dynamics cim:WindTurbineType3or4Dynamics
ReportingGroup,cim:BusNameMarker cim:TopologicalNode
RotatingMachine,cim:GeneratingUnit cim:HydroPump
SeasonDayTypeSchedules,cim:DayType cim:Season
SituationSpecification,fw:Situation fw:SituationOperationSpecification
Substation,cim:DCConverterUnit cim:VoltageLevel
SynchronousMachineDynamics,cim:ExcitationSystemDynamics cim:GenICompensationForGenJ cim:MechanicalLoadDynamics cim:SynchronousMachine cim:TurbineGovernorDynamics
TapChanger,cim:SvTapStep cim:TapChangerControl cim:TapSchedule
Terminal,cim:BusNameMarker cim:Measurement cim:OperationalLimitSet cim:RegulatingControl cim:RemoteInputSignal cim:SvPowerFlow cim:TieFlow cim:TopologicalNode cim:TransformerEnd entsoe2:Circuit icim:PinTerminal pti:ShuntCompensator
Terminals,cim:ConductingEquipment cim:ConnectivityNode
TieFlow,cim:ControlArea cim:Terminal
TopologicalNode,cim:BaseVoltage cim:ConnectivityNode cim:ConnectivityNodeContainer cim:ReportingGroup cim:SvInjection cim:SvVoltage cim:Terminal
TransformerEnd,cim:PhaseTapChanger cim:RatioTapChanger cim:Terminal
TurbineGovernorDynamics,cim:AsynchronousMachineDynamics cim:SynchronousMachineDynamics cim:TurbineLoadControllerDynamics
UnderexcitationLimiterDynamics,cim:ExcitationSystemDynamics cim:RemoteInputSignal
ValueAliasSet,cim:Command cim:Discrete cim:RaiseLowerCommand cim:ValueToAlias
VoltageCompensatorDynamics,cim:ExcitationSystemDynamics cim:RemoteInputSignal
VoltageLevel,cim:BaseVoltage cim:Bay
WindContCurrLimIEC,cim:WindDynamicsLookupTable cim:WindTurbineType3or4IEC
WindContPType3IEC,cim:WindDynamicsLookupTable cim:WindGenTurbineType3IEC
WindContRotorRIEC,cim:WindDynamicsLookupTable cim:WindGenTurbineType2IEC
WindDynamicsLookupTable,cim:WindContCurrLimIEC cim:WindContPType3IEC cim:WindContRotorRIEC cim:WindPlantFreqPcontrolIEC
WindGenTurbineType2IEC,cim:WindContRotorRIEC cim:WindPitchContEmulIEC
WindGenTurbineType3IEC,cim:WindAeroLinearIEC cim:WindContPType3IEC cim:WindContPitchAngleIEC cim:WindMechIEC
WindMechIEC,cim:WindGenTurbineType3IEC cim:WindTurbineType1or2IEC cim:WindTurbineType4bIEC
WindPlantDynamics,cim:RemoteInputSignal cim:WindTurbineType3or4Dynamics
WindPlantFreqPcontrolIEC,cim:WindDynamicsLookupTable cim:WindPlantIEC
WindPlantIEC,cim:WindPlantFreqPcontrolIEC cim:WindPlantReactiveControlIEC
WindProtectionIEC,cim:WindTurbineType1or2IEC cim:WindTurbineType3or4IEC
WindTurbineType1or2Dynamics,cim:AsynchronousMachineDynamics cim:RemoteInputSignal
WindTurbineType1or2IEC,cim:WindMechIEC cim:WindProtectionIEC
WindTurbineType3or4Dynamics,cim:EnergySource cim:RemoteInputSignal cim:WindPlantDynamics
WindTurbineType3or4IEC,cim:WindContCurrLimIEC cim:WindContQIEC cim:WindProtectionIEC
WindTurbineType4bIEC,cim:WindContPType4bIEC cim:WindMechIEC
a,cim:ExcAC5A cim:GovGAST1 cim:GovGAST2 cim:GovGASTWD cim:MechLoad1 cim:Pss2B
a1,cim:ExcAVR7 cim:Pss1A cim:PssIEEE1A cim:PssIEEE3B cim:PssPTIST3
a2,cim:ExcAVR7 cim:Pss1A cim:PssIEEE1A cim:PssIEEE3B cim:PssPTIST3
a3,cim:ExcAVR7 cim:Pss1A cim:PssIEEE3B cim:PssPTIST3
a4,cim:ExcAVR7 cim:Pss1A cim:PssIEEE3B cim:PssPTIST3
a5,cim:ExcAVR7 cim:Pss1A cim:PssIEEE3B cim:PssPTIST3
a6,cim:ExcAVR7 cim:Pss1A cim:PssIEEE3B
a7,cim:Pss1A cim:PssIEEE3B
a8,cim:Pss1A cim:PssIEEE3B
af1,cim:GovGAST2 cim:GovGASTWD
af2,cim:GovGAST2 cim:GovGASTWD
angle,cim:PhaseTapChangerTablePoint cim:SvVoltage
armed,icim:RemedialActionScheme icim:StageTrigger
aset,cim:GovCT1 cim:GovCT2
at,cim:GovGAST cim:GovHydro1 cim:GovHydro3 cim:GovHydro4 cim:GovHydroR
aturb,cim:GovHydro2 cim:GovHydroDD cim:GovHydroIEEE2 cim:GovHydroPID
av0,cim:GovHydroFrancis cim:GovHydroPelton
av1,cim:GovHydroFrancis cim:GovHydroPelton
b,cim:EquivalentShunt cim:GovGAST1 cim:GovGAST2 cim:GovGASTWD cim:MechLoad1 cim:NonlinearShuntCompensatorPoint cim:PowerTransformerEnd cim:TapChangerTablePoint
b0,cim:NonlinearShuntCompensatorPoint cim:PowerTransformerEnd cim:PssPTIST3
b0ch,cim:ACLineSegment cim:MutualCoupling
baseUML,entsoe:DiagramLayoutVersion entsoe:DynamicsVersion entsoe:EquipmentBoundaryVersion entsoe:EquipmentVersion entsoe:GeographicalLocationVersion entsoe:StateVariablesVersion entsoe:SteadyStateHypothesisVersion entsoe:TopologyBoundaryVersion entsoe:TopologyVersion
baseURI,entsoe:DiagramLayoutVersion entsoe:DynamicsVersion entsoe:EquipmentBoundaryVersion entsoe:GeographicalLocationVersion entsoe:StateVariablesVersion entsoe:SteadyStateHypothesisVersion entsoe:TopologyBoundaryVersion entsoe:TopologyVersion
bf1,cim:GovGAST2 cim:GovGASTWD
bf2,cim:GovGAST2 cim:GovGASTWD
boundaryPoint,entsoe:ConnectivityNode entsoe:TopologicalNode
bp,cim:GovGAST3 cim:GovGAST4 cim:GovHydroFrancis cim:GovHydroPelton
bturb,cim:GovHydro2 cim:GovHydroDD cim:GovHydroIEEE2 cim:GovHydroPID
c,cim:GovGAST2 cim:GovGASTWD
capacitance,cim:DCLineSegment cim:DCShunt cim:PerLengthDCLineParameter
cf2,cim:GovGAST2 cim:GovGASTWD
controlEnabled,cim:RegulatingCondEq cim:TapChanger
created,fw:FrameworkVersionObject md:Model
d,cim:GovHydroPID2 cim:GovHydroWPID cim:LoadMotor cim:MechLoad1
date,entsoe:DiagramLayoutVersion entsoe:DynamicsVersion entsoe:EquipmentBoundaryVersion entsoe:EquipmentVersion entsoe:GeographicalLocationVersion entsoe:StateVariablesVersion entsoe:SteadyStateHypothesisVersion entsoe:TopologyBoundaryVersion entsoe:TopologyVersion
db,cim:GovCT1 cim:GovCT2 cim:GovHydroWEH cim:TurbLCFB1
db1,cim:GovGAST1 cim:GovHydro2 cim:GovHydro3 cim:GovHydro4 cim:GovHydroDD cim:GovHydroFrancis cim:GovHydroPID cim:GovHydroPelton cim:GovHydroR cim:GovSteam1 cim:GovSteamEU
db2,cim:GovGAST1 cim:GovHydro2 cim:GovHydro3 cim:GovHydro4 cim:GovHydroDD cim:GovHydroPID cim:GovHydroPelton cim:GovHydroR cim:GovSteam1 cim:GovSteamEU
denominatorMultiplier,cim:ActivePowerPerCurrentFlow cim:ActivePowerPerFrequency cim:CapacitancePerLength cim:InductancePerLength cim:ResistancePerLength cim:RotationSpeed cim:VoltagePerReactivePower cim:VolumeFlowRate
denominatorUnit,cim:ActivePowerPerCurrentFlow cim:ActivePowerPerFrequency cim:CapacitancePerLength cim:InductancePerLength cim:ResistancePerLength cim:RotationSpeed cim:VoltagePerReactivePower cim:VolumeFlowRate
description,cim:IdentifiedObject fw:FrameworkIdentifiedObject md:Model
differenceModelURI,entsoe:DiagramLayoutVersion entsoe:DynamicsVersion entsoe:EquipmentBoundaryVersion entsoe:EquipmentVersion entsoe:GeographicalLocationVersion entsoe:StateVariablesVersion entsoe:SteadyStateHypothesisVersion entsoe:TopologyBoundaryVersion entsoe:TopologyVersion
dipmax,cim:WindGenTurbineType3IEC cim:WindGenType4IEC
diqmax,cim:WindGenTurbineType3IEC cim:WindGenType4IEC
dm,cim:GovCT1 cim:GovCT2
dpmax,cim:WindContPType3IEC cim:WindContPType4aIEC cim:WindContPType4bIEC
drawingOrder,cim:DiagramObject cim:VisibilityLayer
dt,cim:GovSteam0 cim:GovSteamFV2
dtc,cim:GovGAST3 cim:PssPTIST1 cim:PssPTIST3
dtf,cim:PssPTIST1 cim:PssPTIST3
dtp,cim:PssPTIST1 cim:PssPTIST3
dturb,cim:GovGAST cim:GovHydro1 cim:GovHydro3 cim:GovHydro4 cim:GovHydroR cim:GovHydroWEH
e1,cim:ExcAVR1 cim:ExcAVR2 cim:ExcAVR3 cim:ExcOEX3T cim:ExcPIC cim:ExcREXS
e2,cim:ExcAVR1 cim:ExcAVR2 cim:ExcAVR3 cim:ExcOEX3T cim:ExcPIC cim:ExcREXS
ecr,cim:GovGAST2 cim:GovGASTWD
edfmax,cim:ExcDC1A cim:ExcDC3A
efd1,cim:ExcAC5A cim:ExcDC1A cim:ExcDC2A cim:ExcDC3A cim:ExcIEEEAC5A cim:ExcIEEEDC1A cim:ExcIEEEDC2A cim:ExcIEEEDC3A cim:ExcIEEEDC4B cim:OverexcLimX1 cim:OverexcLimX2
efd2,cim:ExcAC5A cim:ExcDC1A cim:ExcDC2A cim:ExcDC3A cim:ExcIEEEAC5A cim:ExcIEEEDC1A cim:ExcIEEEDC2A cim:ExcIEEEDC3A cim:ExcIEEEDC4B cim:OverexcLimX1 cim:OverexcLimX2
efd3,cim:OverexcLimX1 cim:OverexcLimX2
efddes,cim:OverexcLimX1 cim:OverexcLimX2
efdmax,cim:ExcBBC cim:ExcCZ cim:ExcIEEEST2A cim:ExcPIC cim:ExcSEXS cim:ExcSK cim:ExcST2A cim:ExcST3A
efdmin,cim:ExcBBC cim:ExcCZ cim:ExcDC1A cim:ExcDC3A cim:ExcPIC cim:ExcSEXS cim:ExcSK
efdn,cim:ExcAC3A cim:ExcIEEEAC3A
efdrated,cim:OverexcLimX1 cim:OverexcLimX2
emax,cim:ExcHU cim:ExcSCRX cim:ExcSEXS cim:ExcSK cim:TurbLCFB1
emin,cim:ExcHU cim:ExcSCRX cim:ExcSEXS cim:ExcSK
enabled,cim:DynamicsFunctionBlock cim:RegulatingControl icim:PowerTransferCorridor icim:ProtectiveAction
entsoeUML,entsoe:DiagramLayoutVersion entsoe:DynamicsVersion entsoe:EquipmentBoundaryVersion entsoe:EquipmentVersion entsoe:GeographicalLocationVersion entsoe:StateVariablesVersion entsoe:SteadyStateHypothesisVersion entsoe:TopologyBoundaryVersion entsoe:TopologyVersion
entsoeURI,entsoe:DiagramLayoutVersion entsoe:DynamicsVersion entsoe:GeographicalLocationVersion entsoe:StateVariablesVersion entsoe:SteadyStateHypothesisVersion entsoe:TopologyBoundaryVersion entsoe:TopologyVersion
entsoeURIcore,entsoe:EquipmentBoundaryVersion entsoe:EquipmentVersion
entsoeURIoperation,entsoe:EquipmentBoundaryVersion entsoe:EquipmentVersion
eps,cim:GovGAST1 cim:GovHydro2 cim:GovHydro3 cim:GovHydro4 cim:GovHydroDD cim:GovHydroPID cim:GovHydroR cim:GovSteam1
etd,cim:GovGAST2 cim:GovGASTWD
exclim,cim:ExcDC1A cim:ExcDC2A cim:ExcDC3A cim:ExcDC3A1 cim:ExcIEEEDC1A cim:ExcIEEEDC2A cim:ExcIEEEDC3A
exlon,cim:PFVArType2IEEEPFController cim:PFVArType2IEEEVArController
fbf,cim:ExcREXS cim:TurbLCFB1
feedbackSignal,cim:GovHydroPID2 cim:GovHydroWEH
fromEndIsoCode,entsoe:ConnectivityNode entsoe:TopologicalNode
fromEndName,entsoe:ConnectivityNode entsoe:TopologicalNode
fromEndNameTso,entsoe:ConnectivityNode entsoe:TopologicalNode
g,cim:EquivalentShunt cim:NonlinearShuntCompensatorPoint cim:PowerTransformerEnd cim:TapChangerTablePoint
g0,cim:GovHydroPID2 cim:NonlinearShuntCompensatorPoint cim:PowerTransformerEnd
g0ch,cim:ACLineSegment cim:MutualCoupling
gmax,cim:GovHydro1 cim:GovHydro4 cim:GovHydroDD cim:GovHydroPID2 cim:GovHydroR cim:GovHydroWEH
gmin,cim:GovHydro1 cim:GovHydro4 cim:GovHydroDD cim:GovHydroPID2 cim:GovHydroR cim:GovHydroWEH
governorControl,cim:GovHydro3 cim:GovHydroFrancis
governorSCD,cim:ExternalNetworkInjection cim:GeneratingUnit
grounded,cim:ShuntCompensator cim:TransformerEnd
gv1,cim:GovGAST1 cim:GovHydro2 cim:GovHydro3 cim:GovHydro4 cim:GovHydroDD cim:GovHydroIEEE2 cim:GovHydroPID cim:GovHydroR cim:GovHydroWEH cim:GovHydroWPID cim:GovSteam1
gv2,cim:GovGAST1 cim:GovHydro2 cim:GovHydro3 cim:GovHydro4 cim:GovHydroDD cim:GovHydroIEEE2 cim:GovHydroPID cim:GovHydroR cim:GovHydroWEH cim:GovHydroWPID cim:GovSteam1
gv3,cim:GovGAST1 cim:GovHydro2 cim:GovHydro3 cim:GovHydro4 cim:GovHydroDD cim:GovHydroIEEE2 cim:GovHydroPID cim:GovHydroR cim:GovHydroWEH cim:GovHydroWPID cim:GovSteam1
gv4,cim:GovGAST1 cim:GovHydro2 cim:GovHydro3 cim:GovHydro4 cim:GovHydroDD cim:GovHydroIEEE2 cim:GovHydroPID cim:GovHydroR cim:GovHydroWEH cim:GovSteam1
gv5,cim:GovGAST1 cim:GovHydro2 cim:GovHydro3 cim:GovHydro4 cim:GovHydroDD cim:GovHydroIEEE2 cim:GovHydroPID cim:GovHydroR cim:GovHydroWEH cim:GovSteam1
gv6,cim:GovGAST1 cim:GovHydro2 cim:GovHydro3 cim:GovHydroDD cim:GovHydroIEEE2 cim:GovHydroPID cim:GovHydroR cim:GovSteam1
h,cim:LoadComposite cim:LoadMotor
h0,cim:GovHydro3 cim:GovHydroR
h1,cim:GovHydroFrancis cim:GovHydroPelton
h2,cim:GovHydroFrancis cim:GovHydroPelton
hdam,cim:GovHydro1 cim:GovHydro4
hn,cim:GovHydroFrancis cim:GovHydroPelton
ifdlim,cim:OverexcLim2 cim:OverexcLimIEEE
ilr,cim:ExcIEEEST1A cim:ExcIEEEST6B cim:ExcST1A cim:ExcST6B
imax,cim:ExcHU cim:WindContCurrLimIEC
inService,cim:SvStatus entsoe2:Equipment icim:ProtectiveActionEquipment
inductance,cim:DCGround cim:DCLineSegment cim:DCSeriesDevice cim:PerLengthDCLineParameter
inputSignal,cim:GovHydroDD cim:GovHydroPID cim:GovHydroR
inputSignal1Type,cim:Pss2B cim:Pss2ST cim:PssIEEE2B cim:PssIEEE3B cim:PssWECC
inputSignal2Type,cim:Pss2B cim:Pss2ST cim:PssIEEE2B cim:PssIEEE3B cim:PssWECC
inputSignalType,cim:Pss1A cim:PssIEEE1A
k,cim:ExcBBC cim:ExcSCRX cim:ExcSEXS cim:ExcSK cim:GovHydroIEEE0 cim:GovSteam1 cim:GovSteam2 cim:GovSteamFV2 cim:GovSteamFV3 cim:GovSteamIEEE1 cim:PssPTIST1 cim:PssPTIST3 cim:PssSH cim:UnderexcLimX1
k1,cim:ExcAVR7 cim:ExcELIN2 cim:ExcSK cim:ExcST6B cim:GovHydro3 cim:GovHydroDD cim:GovSteam1 cim:GovSteamFV3 cim:GovSteamIEEE1 cim:GovSteamSGO cim:Pss2ST cim:PssSH cim:PssSK cim:PssWECC cim:UnderexcLimIEEE2
k2,cim:ExcANS cim:ExcELIN2 cim:ExcSK cim:GovHydro3 cim:GovHydroDD cim:GovSteam1 cim:GovSteamFV3 cim:GovSteamIEEE1 cim:GovSteamSGO cim:Pss2ST cim:PssSH cim:PssSK cim:PssWECC cim:UnderexcLimIEEE2
k3,cim:ExcANS cim:ExcAVR7 cim:ExcELIN2 cim:GovGAST2 cim:GovGASTWD cim:GovSteam1 cim:GovSteamFV3 cim:GovSteamIEEE1 cim:GovSteamSGO cim:PssSH cim:PssSK
k4,cim:ExcELIN2 cim:GovGAST2 cim:GovGASTWD cim:GovSteam1 cim:GovSteamIEEE1 cim:PssSH
k5,cim:ExcAVR7 cim:GovGAST2 cim:GovGASTWD cim:GovSteam1 cim:GovSteamIEEE1
k6,cim:GovGAST2 cim:GovGASTWD cim:GovSteam1 cim:GovSteamIEEE1
k7,cim:GovSteam1 cim:GovSteamIEEE1
k8,cim:GovSteam1 cim:GovSteamIEEE1
ka,cim:ExcAC1A cim:ExcAC2A cim:ExcAC3A cim:ExcAC4A cim:ExcAC5A cim:ExcAC6A cim:ExcAC8B cim:ExcAVR1 cim:ExcAVR2 cim:ExcAVR3 cim:ExcAVR4 cim:ExcAVR5 cim:ExcCZ cim:ExcDC1A cim:ExcDC2A cim:ExcDC3A1 cim:ExcIEEEAC1A cim:ExcIEEEAC2A cim:ExcIEEEAC3A cim:ExcIEEEAC4A cim:ExcIEEEAC5A cim:ExcIEEEAC6A cim:ExcIEEEAC8B cim:ExcIEEEDC1A cim:ExcIEEEDC2A cim:ExcIEEEDC4B cim:ExcIEEEST1A cim:ExcIEEEST2A cim:ExcIEEEST3A cim:ExcOEX3T cim:ExcPIC cim:ExcST1A cim:ExcST2A cim:GovCT1 cim:GovCT2 cim:GovGAST1 cim:GovGAST3
kb,cim:ExcAC2A cim:ExcIEEEAC2A
kc,cim:ExcAC1A cim:ExcAC2A cim:ExcAC3A cim:ExcAC4A cim:ExcAC6A cim:ExcAC8B cim:ExcIEEEAC1A cim:ExcIEEEAC2A cim:ExcIEEEAC3A cim:ExcIEEEAC4A cim:ExcIEEEAC6A cim:ExcIEEEAC7B cim:ExcIEEEAC8B cim:ExcIEEEST1A cim:ExcIEEEST2A cim:ExcIEEEST3A cim:ExcIEEEST4B cim:ExcIEEEST5B cim:ExcOEX3T cim:ExcPIC cim:ExcREXS cim:ExcSEXS cim:ExcSK cim:ExcST1A cim:ExcST2A cim:ExcST3A cim:ExcST4B cim:GovHydroFrancis cim:GovHydroPelton
kce,cim:ExcANS cim:ExcSK
kd,cim:ExcAC1A cim:ExcAC2A cim:ExcAC3A cim:ExcAC6A cim:ExcAC8B cim:ExcIEEEAC1A cim:ExcIEEEAC2A cim:ExcIEEEAC3A cim:ExcIEEEAC6A cim:ExcIEEEAC7B cim:ExcIEEEAC8B cim:ExcIEEEDC4B cim:ExcOEX3T cim:ExcREXS cim:ExcSK cim:GovGASTWD cim:GovHydroPID cim:GovHydroPID2 cim:GovHydroWEH cim:GovHydroWPID cim:Pss1A
kdgov,cim:GovCT1 cim:GovCT2
kdr,cim:ExcAC8B cim:ExcIEEEAC7B cim:ExcIEEEAC8B
kdroop,cim:GovGASTWD cim:WindPitchContEmulIEC
ke,cim:ExcAC1A cim:ExcAC2A cim:ExcAC3A cim:ExcAC5A cim:ExcAC6A cim:ExcAC8B cim:ExcAVR4 cim:ExcCZ cim:ExcDC1A cim:ExcDC2A cim:ExcDC3A cim:ExcDC3A1 cim:ExcHU cim:ExcIEEEAC1A cim:ExcIEEEAC2A cim:ExcIEEEAC3A cim:ExcIEEEAC5A cim:ExcIEEEAC6A cim:ExcIEEEAC7B cim:ExcIEEEAC8B cim:ExcIEEEDC1A cim:ExcIEEEDC2A cim:ExcIEEEDC3A cim:ExcIEEEDC4B cim:ExcIEEEST2A cim:ExcOEX3T cim:ExcPIC cim:ExcREXS cim:ExcST2A cim:GovSteamEU
kf,cim:ExcAC1A cim:ExcAC2A cim:ExcAC3A cim:ExcAC5A cim:ExcAVR1 cim:ExcAVR2 cim:ExcDC1A cim:ExcDC2A cim:ExcDC3A1 cim:ExcIEEEAC1A cim:ExcIEEEAC2A cim:ExcIEEEAC3A cim:ExcIEEEAC5A cim:ExcIEEEDC1A cim:ExcIEEEDC2A cim:ExcIEEEDC4B cim:ExcIEEEST1A cim:ExcIEEEST2A cim:ExcOEX3T cim:ExcPIC cim:ExcREXS cim:ExcST1A cim:ExcST2A cim:GovGAST2 cim:GovGASTWD cim:Pss1 cim:Pss5
kf1,cim:ExcAC1A cim:ExcAC3A cim:ExcIEEEAC7B cim:GovSteamFV4
kf2,cim:ExcAC1A cim:ExcAC3A cim:ExcIEEEAC7B cim:UnderexcLimX1 cim:UnderexcLimX2
kf3,cim:ExcIEEEAC7B cim:GovSteamFV4
kff,cim:ExcIEEEST6B cim:ExcST6B
kg,cim:ExcIEEEST3A cim:ExcIEEEST4B cim:ExcIEEEST6B cim:ExcST3A cim:ExcST4B cim:ExcST6B cim:GovHydro3 cim:GovHydroDD cim:GovHydroFrancis cim:GovHydroPID cim:GovHydroPelton cim:GovHydroR
kh,cim:ExcAC2A cim:ExcAC6A cim:ExcIEEEAC2A cim:ExcIEEEAC6A cim:ExcIEEEST7B cim:ExcREXS cim:ExcST7B cim:PssIEEE4B
khp,cim:GovSteamEU cim:GovSteamFV4
ki,cim:ExcDC3A1 cim:ExcHU cim:ExcIEEEDC4B cim:ExcIEEEST2A cim:ExcIEEEST3A cim:ExcIEEEST4B cim:ExcPIC cim:ExcST2A cim:ExcST3A cim:ExcST4B cim:GovGASTWD cim:GovHydro3 cim:GovHydroDD cim:GovHydroPID cim:GovHydroPID2 cim:GovHydroR cim:GovHydroWEH cim:GovHydroWPID cim:PFVArType2Common1 cim:PFVArType2IEEEPFController cim:PFVArType2IEEEVArController cim:PssIEEE4B cim:TurbLCFB1
kia,cim:ExcIEEEAC7B cim:ExcIEEEST6B cim:ExcIEEEST7B cim:ExcST6B cim:ExcST7B
kic,cim:GovSteamFV4 cim:WindContPitchAngleIEC
kigov,cim:GovCT1 cim:GovCT2
kiload,cim:GovCT1 cim:GovCT2
kim,cim:ExcIEEEST4B cim:ExcST4B
kimw,cim:GovCT1 cim:GovCT2
kind,fw:TopologyProcessing icim:Gate icim:PinEquipment icim:PinTerminal icim:ProtectiveActionAdjustment icim:RemedialActionScheme
kip,cim:ExcREXS cim:GovSteamFV4 cim:WindContPType3IEC
kir,cim:ExcAC8B cim:ExcIEEEAC7B cim:ExcIEEEAC8B cim:ExcIEEEST4B cim:ExcST4B
kl,cim:ExcAC2A cim:ExcIEEEAC7B cim:ExcIEEEST7B cim:ExcST7B cim:PssIEEE4B
kl1,cim:ExcAC2A cim:PssIEEE4B
klr,cim:ExcIEEEST1A cim:ExcIEEEST6B cim:ExcST1A cim:ExcST6B
km,cim:ExcIEEEST3A cim:ExcIEEEST6B cim:ExcST3A cim:ExcST6B cim:UnderexcLimX1 cim:UnderexcLimX2
kmx,cim:OverexcLimX1 cim:OverexcLimX2
kn,cim:ExcAC3A cim:ExcIEEEAC3A
kp,cim:ExcCZ cim:ExcDC3A1 cim:ExcIEEEAC7B cim:ExcIEEEDC4B cim:ExcIEEEST2A cim:ExcIEEEST3A cim:ExcIEEEST4B cim:ExcPIC cim:ExcSK cim:ExcST2A cim:ExcST3A cim:ExcST4B cim:GovGASTWD cim:GovHydroPID cim:GovHydroPID2 cim:GovHydroWEH cim:GovHydroWPID cim:PFVArType2Common1 cim:PFVArType2IEEEPFController cim:PFVArType2IEEEVArController cim:TurbLCFB1
kpa,cim:ExcIEEEAC7B cim:ExcIEEEST6B cim:ExcIEEEST7B cim:ExcST6B cim:ExcST7B
kpc,cim:GovSteamFV4 cim:WindContPitchAngleIEC cim:WindGenTurbineType3aIEC
kpe,cim:Pss1 cim:Pss5
kpgov,cim:GovCT1 cim:GovCT2
kpload,cim:GovCT1 cim:GovCT2
